Episode,Reward,Pre,True,Probabilities,Steps
260.0,200.0,0.0,0.0,0.0012918408028781414,200.0
261.0,142.0,1.0,1.0,0.5822298526763916,11.0
262.0,184.0,1.0,1.0,0.5342472791671753,8.0
263.0,144.0,1.0,1.0,0.6179765462875366,10.0
264.0,200.0,0.0,0.0,0.009830811992287636,200.0
265.0,200.0,0.0,0.0,0.0012572272680699825,200.0
266.0,200.0,1.0,0.0,0.5887160897254944,6.0
267.0,200.0,0.0,0.0,0.0015133123379200697,200.0
268.0,200.0,0.0,0.0,0.0022016470320522785,200.0
269.0,160.0,1.0,1.0,0.5340467691421509,11.0
270.0,141.0,1.0,1.0,0.54949951171875,11.0
271.0,176.0,1.0,1.0,0.5086956024169922,10.0
272.0,150.0,1.0,1.0,0.5733901858329773,11.0
273.0,180.0,1.0,1.0,0.6386589407920837,9.0
274.0,165.0,1.0,1.0,0.546600878238678,10.0
275.0,200.0,0.0,0.0,0.014975081197917461,200.0
276.0,200.0,0.0,0.0,0.0014643191825598478,200.0
277.0,150.0,1.0,1.0,0.5406716465950012,12.0
278.0,165.0,1.0,1.0,0.546600878238678,10.0
279.0,200.0,0.0,0.0,0.025673791766166687,200.0
280.0,198.0,1.0,1.0,0.5650249719619751,8.0
281.0,187.0,1.0,1.0,0.5287321209907532,8.0
282.0,200.0,0.0,0.0,0.014975081197917461,200.0
283.0,176.0,1.0,1.0,0.5086956024169922,10.0
284.0,163.0,1.0,1.0,0.5513681769371033,11.0
285.0,200.0,0.0,0.0,0.0017525010043755174,200.0
286.0,200.0,0.0,0.0,0.002375591080635786,200.0
287.0,200.0,0.0,0.0,0.03397711366415024,200.0
288.0,181.0,1.0,1.0,0.6542385816574097,10.0
289.0,200.0,0.0,0.0,0.17683501541614532,200.0
290.0,184.0,1.0,1.0,0.5011152029037476,8.0
291.0,200.0,1.0,0.0,0.5972658395767212,1.0
292.0,161.0,1.0,1.0,0.5131759643554688,11.0
293.0,200.0,1.0,0.0,0.5596166849136353,1.0
294.0,200.0,0.0,0.0,0.032465990632772446,200.0
295.0,200.0,0.0,0.0,0.12446662038564682,200.0
296.0,173.0,1.0,1.0,0.5237831473350525,11.0
297.0,186.0,1.0,1.0,0.5968818664550781,7.0
298.0,200.0,0.0,0.0,0.0034046489745378494,200.0
299.0,200.0,0.0,0.0,0.020014189183712006,200.0
300.0,192.0,1.0,1.0,0.5276228189468384,9.0
301.0,200.0,0.0,0.0,0.015148965641856194,200.0
302.0,178.0,1.0,1.0,0.5109558701515198,8.0
303.0,200.0,0.0,0.0,0.0018742247484624386,200.0
304.0,168.0,1.0,1.0,0.6384299993515015,8.0
305.0,200.0,0.0,0.0,0.027359403669834137,200.0
306.0,135.0,1.0,1.0,0.6471324563026428,10.0
307.0,200.0,0.0,0.0,0.004604669753462076,200.0
308.0,171.0,1.0,1.0,0.6428599953651428,10.0
309.0,200.0,0.0,0.0,0.009009233675897121,200.0
310.0,200.0,0.0,0.0,0.0086563341319561,200.0
311.0,200.0,0.0,0.0,0.006011408753693104,200.0
312.0,147.0,1.0,1.0,0.6102051734924316,10.0
313.0,200.0,0.0,0.0,0.0013283025473356247,200.0
314.0,184.0,1.0,1.0,0.5323376059532166,8.0
315.0,178.0,1.0,1.0,0.5242586135864258,11.0
316.0,200.0,0.0,0.0,0.0035484465770423412,200.0
317.0,187.0,1.0,1.0,0.5330259799957275,10.0
318.0,167.0,1.0,1.0,0.611173152923584,10.0
319.0,200.0,0.0,0.0,0.022667324170470238,200.0
320.0,136.0,1.0,1.0,0.5164988040924072,9.0
321.0,178.0,1.0,1.0,0.5162443518638611,10.0
322.0,200.0,0.0,0.0,0.014559764415025711,200.0
323.0,200.0,0.0,0.0,0.17683501541614532,200.0
324.0,187.0,1.0,1.0,0.5833534002304077,11.0
325.0,200.0,0.0,0.0,0.027369631454348564,200.0
326.0,200.0,0.0,0.0,0.0014759156620129943,200.0
327.0,139.0,1.0,1.0,0.5175869464874268,12.0
328.0,200.0,0.0,0.0,0.23622918128967285,200.0
329.0,192.0,1.0,1.0,0.5391950607299805,8.0
330.0,181.0,1.0,1.0,0.562461256980896,8.0
331.0,163.0,1.0,1.0,0.5345672369003296,11.0
332.0,189.0,1.0,1.0,0.6360199451446533,11.0
333.0,200.0,0.0,0.0,0.03369057551026344,200.0
334.0,200.0,1.0,0.0,0.5887160897254944,6.0
335.0,187.0,1.0,1.0,0.5276595950126648,12.0
336.0,200.0,0.0,0.0,0.002573510631918907,200.0
337.0,200.0,0.0,0.0,0.0020712604746222496,200.0
338.0,195.0,1.0,1.0,0.6426657438278198,11.0
339.0,200.0,0.0,0.0,0.004914459306746721,200.0
340.0,196.0,1.0,1.0,0.5539116263389587,10.0
341.0,168.0,1.0,1.0,0.5394810438156128,10.0
342.0,200.0,1.0,0.0,0.597061276435852,4.0
343.0,200.0,0.0,0.0,0.007012220099568367,200.0
344.0,141.0,1.0,1.0,0.54949951171875,11.0
345.0,182.0,1.0,1.0,0.5891916751861572,7.0
346.0,200.0,0.0,0.0,0.005241673439741135,200.0
347.0,157.0,1.0,1.0,0.5792791247367859,10.0
348.0,200.0,0.0,0.0,0.032465990632772446,200.0
349.0,200.0,0.0,0.0,0.0037200083024799824,200.0
350.0,200.0,0.0,0.0,0.015683762729167938,200.0
351.0,187.0,1.0,1.0,0.52005535364151,8.0
352.0,200.0,0.0,0.0,0.08195050060749054,200.0
353.0,177.0,1.0,1.0,0.6207972764968872,9.0
354.0,185.0,1.0,1.0,0.5738744735717773,10.0
355.0,200.0,0.0,0.0,0.011925873346626759,200.0
356.0,182.0,1.0,1.0,0.5780414342880249,9.0
357.0,197.0,1.0,1.0,0.6726297736167908,11.0
358.0,200.0,0.0,0.0,0.0020712604746222496,200.0
359.0,176.0,1.0,1.0,0.5590903162956238,10.0
360.0,200.0,1.0,0.0,0.6135042309761047,10.0
361.0,200.0,0.0,0.0,0.00270124152302742,200.0
362.0,200.0,0.0,0.0,0.018825368955731392,200.0
363.0,200.0,0.0,0.0,0.42633306980133057,200.0
364.0,200.0,0.0,0.0,0.005195716395974159,200.0
365.0,200.0,0.0,0.0,0.027359403669834137,200.0
